Name,Gender,Birth Year,Nationality,Mission Count,Mission Role,Mission Year,Mission Name,Mission Duration
"Gagarin, Yuri",male,1934,U.S.S.R/Russia,1,pilot,1961,Vostok 1,1.77
"Titov, Gherman",male,1935,U.S.S.R/Russia,1,pilot,1961,Vostok 2,25.0
"Glenn, John H., Jr.",male,1921,U.S.,2,pilot,1962,MA-6,5.0
"Glenn, John H., Jr.",male,1921,U.S.,2,PSP,1998,STS-95,213.0
"Carpenter, M. Scott",male,1925,U.S.,1,Pilot,1962,Mercury-Atlas 7,5.0
"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,2,pilot,1962,Vostok 3,94.0
"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,2,pilot,1970,Soyuz 9,424.0
"Popovich, Pavel",male,1930,U.S.S.R/Russia,2,pilot,1962,Vostok 4,70.93
"Popovich, Pavel",male,1930,U.S.S.R/Russia,2,commander,1974,Soyuz 14,377.0
"Schirra, Walter M., Jr.",male,1923,U.S.,3,pilot,1962,Mercury-Atlas 8,9.22
"Schirra, Walter M., Jr.",male,1923,U.S.,3,commander,1965,Gemini 6A,25.87
"Schirra, Walter M., Jr.",male,1923,U.S.,3,commander,1968,Apollo 7,260.13
"Cooper, L. Gordon, Jr.",male,1927,U.S.,2,pilot,1963,Mercury-Atlas 9,34.32
"Cooper, L. Gordon, Jr.",male,1927,U.S.,2,commander,1965,Gemini 5,191.92
"Bykovsky, Valery",male,1934,U.S.S.R/Russia,3,pilot,1963,Vostok 5,119.13
"Bykovsky, Valery",male,1934,U.S.S.R/Russia,3,commander,1976,Soyuz 22,189.0
"Bykovsky, Valery",male,1934,U.S.S.R/Russia,3,commander,1978,Soyuz 31/29,188.0
"Tereshkova, Valentina",female,1937,U.S.S.R/Russia,1,pilot,1963,Vostok 6,70.83
"Komarov, Vladimir",male,1927,U.S.S.R/Russia,2,commander,1964,Voskhod 1,24.28
"Komarov, Vladimir",male,1927,U.S.S.R/Russia,2,commander,1967,Soyuz 1,26.78
"Feoktistov, Konstantin",male,1926,U.S.S.R/Russia,1,MSP,1964,Voskhod 1,24.28
"Yegorov, Boris",male,1937,U.S.S.R/Russia,1,MSP,1964,Voskhod 1,24.28
"Belyayev, Pavel",male,1925,U.S.S.R/Russia,1,commander,1965,Voskhod 2,26.03
"Leonov, Aleksei",male,1934,U.S.S.R/Russia,2,pilot,1965,Voskhod 2,26.03
"Leonov, Aleksei",male,1934,U.S.S.R/Russia,2,commander,1975,Soyuz 19,142.0
"Grissom, Virgil I.",male,1926,U.S.,1,commander,1965,Gemini 3,4.86
"Young, John W.",male,1930,U.S.,6,pilot,1965,Gemini 3,4.86
"Young, John W.",male,1930,U.S.,6,pilot,1966,Gemini 10,70.77
"Young, John W.",male,1930,U.S.,6,pilot,1969,Apollo 10,192.05
"Young, John W.",male,1930,U.S.,6,commander,1972,Apollo 16,265.85
"Young, John W.",male,1930,U.S.,6,commander,1981,STS-1,54.5
"Young, John W.",male,1930,U.S.,6,commander,1983,STS-9,240.0
"McDivitt, James A.",male,1929,U.S.,2,commander,1965,Gemini 4,97.0
"McDivitt, James A.",male,1929,U.S.,2,commander,1969,Apollo 9,241.0
"White, Edward H., II",male,1930,U.S.,1,pilot,1965,Gemini 4,97.93
"Conrad, Charles, Jr.",male,1930,U.S.,4,pilot,1965,Gemini 5,191.0
"Conrad, Charles, Jr.",male,1930,U.S.,4,commander,1966,Gemini 11,71.0
"Conrad, Charles, Jr.",male,1930,U.S.,4,commander,1969,Apollo 12,244.0
"Conrad, Charles, Jr.",male,1930,U.S.,4,commander,1973,Skylab 2,673.0
"Borman, Frank",male,1928,U.S.,2,commander,1965,Gemini 7,330.58
"Borman, Frank",male,1928,U.S.,2,commander,1968,Apollo 8,147.0
"Lovell, James A., Jr.",male,1928,U.S.,4,pilot,1965,Gemini 7,330.58
"Lovell, James A., Jr.",male,1928,U.S.,4,commander,1966,Gemini 12,94.0
"Lovell, James A., Jr.",male,1928,U.S.,4,pilot,1968,Apollo 8,147.0
"Lovell, James A., Jr.",male,1928,U.S.,4,commander,1970,Apollo 13,142.0
"Stafford, Thomas P.",male,1930,U.S.,4,pilot,1965,gemini 6A,25.86
"Stafford, Thomas P.",male,1930,U.S.,4,commander,1966,Gemini 9A,72.0
"Stafford, Thomas P.",male,1930,U.S.,4,commander,1969,Apollo 10,192.0
"Stafford, Thomas P.",male,1930,U.S.,4,commander,1975,ASTP,217.0
"Armstrong, Neil A.",male,1930,U.S.,2,commander,1966,Gemini 8,11.0
"Armstrong, Neil A.",male,1930,U.S.,2,commander,1969,Apollo 11,195.0
"Scott, David R.",male,1932,U.S.,3,pilot,1966,Gemini 8,240.68
"Scott, David R.",male,1932,U.S.,3,pilot,1969,Apollo 9,241.0
"Scott, David R.",male,1932,U.S.,3,commander,1971,Apollo 15,312.0
"Cernan, Eugene A.",male,1934,U.S.,3,pilot,1966,Gemini 9A,72.0
"Cernan, Eugene A.",male,1934,U.S.,3,pilot,1969,Apollo 10,192.05
"Cernan, Eugene A.",male,1934,U.S.,3,commander,1972,Apollo 17,302.0
"Collins, Michael",male,1930,U.S.,2,pilot,1966,Gemini 10,71.0
"Collins, Michael",male,1930,U.S.,2,pilot,1969,Apollo 11,195.0
"Gordon, Richard F., Jr.",male,1929,U.S.,2,pilot,1966,Gemini 11,71.28
"Gordon, Richard F., Jr.",male,1929,U.S.,2,pilot,1969,Apollo 12,244.6
"Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,2,pilot,1966,Gemini 12,94.58
"Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,2,pilot,1969,Apollo 11,195.0
"Eisele, Donn F.",male,1930,U.S.,1,pilot,1968,Apollo 7,260.13
"Cunningham, Ronnie Walter",male,1932,U.S.,1,pilot,1968,Apollo 7,260.13
"Savinykh, Viktor",male,1940,U.S.S.R/Russia,3,flight engineer,1985,Salyut 7,4035.0
"Savinykh, Viktor",male,1940,U.S.S.R/Russia,3,flight engineer,1988,2,236.0
Jugderdemidiin Gurragchaa,male,1947,Mongolia,1,flight engineer,1981,Soyuz 39,188.7
"Crippen, Robert L.",male,1937,U.S.,4,pilot,1981,STS-1,54.0
"Crippen, Robert L.",male,1937,U.S.,4,commander,1983,STS-7,146.0
"Crippen, Robert L.",male,1937,U.S.,4,commander,1984,STS-41-C,168.0
"Crippen, Robert L.",male,1937,U.S.,4,commander,1984,STS-41-G,197.0
Dumitru Prunariu,male,1952,Romania,1,MSP,1981,Soyuz 40,188.7
"Engle, Joe H.",male,1932,U.S.,2,commander,1981,STS-2,30.0
"Engle, Joe H.",male,1932,U.S.,2,commander,1985,STS-51-I,170.0
"Truly, Richard H.",male,1937,U.S.,2,pilot,1981,STS-2,54.21
